frame,track_id,class,pixel_x,pixel_y,court_x,court_y,team
0,1,player,838.729736328125,821.8929443359375,3.2568631172180176,8.652780532836914,0.0
0,2,player,1220.7208251953125,912.3179321289062,2.186760187149048,14.611334800720215,0.0
0,3,player,1666.560791015625,642.45751953125,10.22054386138916,18.154930114746094,0.0
0,4,player,1140.36572265625,578.7792358398438,11.001195907592773,8.71884822845459,0.0
0,5,player,801.3895263671875,953.1075439453125,0.5831609964370728,10.091629981994629,0.0
0,6,player,1285.835205078125,687.5974731445312,7.776968479156494,12.853265762329102,0.0
0,7,player,1714.2784423828125,486.3203430175781,16.74473762512207,17.37053871154785,1.0
0,8,player,604.1973876953125,1075.5728759765625,-1.7404500246047974,9.46053409576416,1.0
0,9,player,263.7621765136719,1078.3177490234375,-2.3829681873321533,5.892845630645752,0.0
0,10,player,283.81427001953125,941.741455078125,-0.2400980293750763,3.8631439208984375,0.0
0,11,player,368.32470703125,1008.5607299804688,-1.1678956747055054,5.957829475402832,0.0
1,1,player,838.2138061523438,822.8626098632812,3.23427677154541,8.661523818969727,0.0
1,2,player,1226.35107421875,911.8289794921875,2.207933187484741,14.674844741821289,0.0
1,3,player,1667.9814453125,641.91943359375,10.242700576782227,18.172420501708984,0.0
1,4,player,1140.1578369140625,578.5828247070312,11.007890701293945,8.711380958557129,0.0
1,5,player,801.4808349609375,952.1979370117188,0.5994336605072021,10.080737113952637,0.0
1,6,player,1283.438720703125,687.7164916992188,7.767266273498535,12.819233894348145,0.0
1,7,player,1713.7701416015625,485.86419677734375,16.765474319458008,17.355567932128906,1.0
1,8,player,603.8629760742188,1075.5445556640625,-1.7406370639801025,9.45663070678711,1.0
1,9,player,263.2070007324219,1078.509765625,-2.3866143226623535,5.889853477478027,0.0
1,10,player,284.7955322265625,947.2117309570312,-0.33141306042671204,3.9737534523010254,0.0
1,11,player,367.85711669921875,1008.062255859375,-1.1610156297683716,5.944797515869141,0.0
2,1,player,838.0831909179688,823.1627807617188,3.2273571491241455,8.664606094360352,0.0
2,2,player,1226.820068359375,911.7531127929688,2.2103891372680664,14.679792404174805,0.0
2,3,player,1670.62060546875,641.689208984375,10.257721900939941,18.21184539794922,0.0
2,4,player,1139.864990234375,579.4971313476562,10.97308349609375,8.72510051727295,0.0
2,5,player,801.4832153320312,952.2816772460938,0.5979558229446411,10.081866264343262,0.0
2,6,player,1283.576416015625,688.10595703125,7.756014347076416,12.8267183303833,0.0
2,7,player,1713.51513671875,486.0135192871094,16.757278442382812,17.352523803710938,1.0
2,8,player,603.649169921875,1075.409423828125,-1.7390711307525635,9.452681541442871,1.0
2,9,player,262.956787109375,1078.343505859375,-2.3847496509552,5.8847270011901855,0.0
2,10,player,286.0496826171875,948.989990234375,-0.3590898811817169,4.020384788513184,0.0
2,11,player,368.24224853515625,1008.443359375,-1.166224479675293,5.955069541931152,0.0
3,1,player,836.0947875976562,821.6709594726562,3.2559268474578857,8.614887237548828,0.0
3,2,player,1226.5003662109375,912.007568359375,2.204726219177246,14.678412437438965,0.0
3,3,player,1673.944091796875,641.1740112304688,10.284326553344727,18.259521484375,0.0
3,4,player,1138.625732421875,579.9773559570312,10.95167350769043,8.71420955657959,0.0
3,5,player,801.455078125,952.476318359375,0.5944553017616272,10.084097862243652,0.0
3,6,player,1281.899658203125,686.6055297851562,7.796463966369629,12.780759811401367,1.0
3,8,player,603.7040405273438,1075.08984375,-1.734369158744812,9.449294090270996,1.0
3,9,player,262.24566650390625,1078.2823486328125,-2.385158061981201,5.8763041496276855,0.0
3,10,player,287.3179931640625,946.5872802734375,-0.3158458471298218,3.9918909072875977,0.0
3,11,player,368.3836364746094,1008.4097900390625,-1.1654378175735474,5.95611572265625,0.0
4,1,player,835.0359497070312,821.527099609375,3.256760597229004,8.598780632019043,0.0
4,2,player,1224.6767578125,909.8734130859375,2.243029832839966,14.635224342346191,0.0
